iter	Passed	Remaining
0	7	7051
1	9	4813
2	12	4231
3	16	4002
4	20	4043
5	25	4171
6	28	4009
7	33	4150
8	37	4102
9	42	4178
10	45	4068
11	48	4000
12	51	3933
13	56	3997
14	59	3924
15	64	3953
16	67	3919
17	72	3949
18	76	3968
19	79	3910
20	82	3856
21	86	3826
22	89	3804
23	92	3772
24	95	3739
25	98	3705
26	102	3678
27	105	3650
28	108	3616
29	110	3586
30	113	3558
31	116	3538
32	120	3539
33	123	3518
34	126	3498
35	129	3476
36	132	3457
37	138	3504
38	141	3487
39	144	3468
40	147	3451
41	151	3453
42	154	3435
43	157	3419
44	160	3403
45	163	3392
46	167	3392
47	170	3378
48	173	3363
49	176	3348
50	179	3334
51	183	3339
52	186	3328
53	189	3313
54	192	3298
55	195	3293
56	199	3294
57	201	3268
58	204	3269
59	208	3263
60	211	3259
61	215	3254
62	218	3249
63	222	3253
64	226	3253
65	229	3252
66	234	3270
67	240	3299
68	246	3332
69	251	3342
70	254	3334
71	257	3323
72	262	3334
73	265	3327
74	269	3318
75	272	3307
76	275	3297
77	278	3292
78	281	3282
79	284	3272
80	287	3261
81	290	3251
82	294	3251
83	297	3241
84	300	3233
85	303	3224
86	306	3215
87	310	3220
88	313	3213
89	316	3202
90	319	3194
91	322	3185
92	325	3179
93	328	3170
94	331	3162
95	334	3153
96	338	3147
97	341	3140
98	344	3133
99	347	3124
100	350	3116
101	353	3112
102	356	3108
103	359	3100
104	362	3093
105	365	3085
106	369	3081
107	372	3078
108	375	3071
109	378	3063
110	381	3055
111	385	3053
112	388	3048
113	391	3043
114	394	3038
115	398	3033
116	401	3029
117	404	3026
118	408	3021
119	411	3015
120	414	3011
121	417	3005
122	420	2999
123	423	2993
124	426	2986
125	430	2983
126	433	2977
127	436	2973
128	439	2966
129	442	2962
130	446	2959
131	449	2954
132	452	2951
133	455	2946
134	459	2942
135	462	2936
136	465	2930
137	468	2926
138	472	2924
139	475	2919
140	478	2914
141	481	2907
142	484	2902
143	487	2898
144	491	2895
145	494	2889
146	496	2883
147	500	2878
148	503	2874
149	506	2869
150	509	2863
151	512	2858
152	515	2854
153	536	2947
154	542	2958
155	548	2968
156	553	2973
157	559	2979
158	563	2980
159	567	2981
160	571	2980
161	575	2976
162	579	2973
163	582	2968
164	585	2962
165	588	2956
166	591	2950
167	594	2945
168	597	2938
169	600	2933
170	603	2927
171	606	2921
172	610	2916
173	613	2911
174	616	2904
175	618	2897
176	621	2891
177	625	2889
178	630	2890
179	634	2888
180	636	2882
181	639	2876
182	643	2870
183	646	2865
184	649	2859
185	652	2853
186	654	2847
187	658	2843
188	661	2838
189	664	2832
190	667	2826
191	670	2820
192	673	2817
193	676	2812
194	679	2807
195	682	2801
196	685	2795
197	688	2789
198	691	2784
199	694	2778
200	697	2772
201	700	2767
202	703	2761
203	706	2758
204	709	2752
205	712	2746
206	715	2741
207	718	2735
208	721	2731
209	725	2727
210	728	2722
211	731	2719
212	734	2713
213	737	2708
214	740	2703
215	743	2698
216	746	2692
217	749	2687
218	752	2682
219	755	2678
220	758	2672
221	761	2667
222	764	2662
223	767	2657
224	770	2655
225	774	2652
226	777	2647
227	780	2642
228	783	2638
229	786	2634
230	789	2629
231	792	2624
232	795	2619
233	798	2614
234	801	2609
235	806	2609
236	809	2605
237	812	2600
238	815	2597
239	819	2593
240	822	2589
241	825	2584
242	827	2579
243	830	2574
244	834	2571
245	837	2567
246	840	2562
247	843	2558
248	847	2554
249	850	2550
250	853	2547
251	856	2542
252	859	2538
253	862	2533
254	866	2530
255	868	2525
256	871	2520
257	874	2515
258	877	2510
259	880	2506
260	883	2502
261	886	2497
262	889	2493
263	892	2488
264	895	2484
265	898	2480
266	901	2475
267	904	2470
268	907	2466
269	911	2465
270	914	2460
271	917	2456
272	920	2451
273	923	2447
274	926	2443
275	929	2439
276	932	2434
277	935	2430
278	939	2426
279	942	2422
280	945	2418
281	948	2414
282	951	2410
283	954	2406
284	957	2402
285	960	2398
286	964	2395
287	966	2390
288	970	2387
289	973	2383
290	976	2379
291	979	2375
292	982	2371
293	985	2367
294	987	2359
295	990	2356
296	993	2352
297	996	2348
298	999	2344
299	1002	2340
300	1006	2336
301	1009	2332
302	1012	2328
303	1015	2324
304	1018	2320
305	1021	2316
306	1024	2312
307	1027	2308
308	1030	2304
309	1033	2300
310	1036	2296
311	1039	2292
312	1042	2288
313	1045	2284
314	1048	2279
315	1051	2276
316	1054	2272
317	1057	2268
318	1060	2264
319	1063	2260
320	1066	2256
321	1069	2252
322	1072	2248
323	1075	2244
324	1078	2240
325	1081	2236
326	1084	2232
327	1087	2228
328	1090	2224
329	1093	2220
330	1096	2216
331	1099	2212
332	1102	2208
333	1105	2204
334	1108	2200
335	1111	2196
336	1114	2192
337	1117	2188
338	1120	2185
339	1123	2181
340	1126	2177
341	1129	2173
342	1132	2169
343	1136	2166
344	1140	2164
345	1143	2161
346	1146	2157
347	1149	2153
348	1153	2151
349	1156	2148
350	1159	2144
351	1162	2140
352	1165	2136
353	1168	2133
354	1171	2129
355	1174	2125
356	1177	2121
357	1181	2117
358	1184	2114
359	1187	2110
360	1190	2106
361	1193	2102
362	1196	2098
363	1199	2096
364	1202	2092
365	1205	2088
366	1208	2084
367	1211	2080
368	1216	2079
369	1219	2076
370	1222	2072
371	1225	2068
372	1228	2065
373	1231	2062
374	1234	2058
375	1237	2054
376	1240	2050
377	1244	2047
378	1246	2043
379	1249	2039
380	1252	2035
381	1255	2031
382	1259	2028
383	1262	2024
384	1265	2021
385	1268	2017
386	1271	2013
387	1274	2010
388	1277	2006
389	1280	2002
390	1283	1999
391	1286	1995
392	1290	1992
393	1293	1989
394	1296	1985
395	1299	1981
396	1302	1977
397	1305	1974
398	1308	1970
399	1311	1967
400	1314	1963
401	1317	1959
402	1320	1956
403	1323	1952
404	1326	1948
405	1329	1945
406	1332	1941
