age,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,genre_binaire,tranche_age,ratio_stagnation,ratio_sous_responsable,age_revenu,satisfaction_moyenne,interaction_satisfaction_anciennete,taux_de_formation,heures_supplementaires_binaire,interaction_distance_heures_sup,frequence_deplacement_num,surmenage_transports
41,5993,Célibataire,Commercial,Cadre Commercial,8,8,6,4,1,0,0,1,2,Infra & Cloud,0,5,2,3,2,4,1,1,3,0.11,0,Intermédiaire,0.5714285714285714,0.7142857142857143,245713,2.0,12.0,0.0,1,1,1,1
49,5130,Marié(e),Consulting,Assistant de Direction,1,10,10,7,0,1,3,8,1,Infra & Cloud,1,7,3,2,2,2,4,3,4,0.23,1,Senior,0.6363636363636364,0.6363636363636364,251370,3.0,30.0,0.2727272727272727,0,0,2,0
37,2090,Célibataire,Consulting,Consultant,6,7,0,0,1,0,3,2,2,Autre,0,0,4,2,1,3,2,3,3,0.15,1,Intermédiaire,0.0,0.0,77330,3.0,0.0,3.0,1,2,1,2
33,2909,Marié(e),Consulting,Assistant de Direction,1,8,8,7,0,0,3,3,4,Infra & Cloud,3,0,4,3,1,3,3,3,3,0.11,0,Junior,0.7777777777777778,0.0,95997,3.25,26.0,0.3333333333333333,1,3,2,6
27,3468,Marié(e),Consulting,Consultant,9,6,2,2,0,1,3,2,1,Transformation Digitale,2,2,1,3,1,2,4,3,3,0.12,1,Junior,0.6666666666666666,0.6666666666666666,93636,2.5,5.0,1.0,0,0,1,0
32,3068,Célibataire,Consulting,Consultant,0,8,7,7,0,0,2,2,2,Infra & Cloud,3,6,4,3,1,4,3,2,3,0.13,1,Junior,0.875,0.75,98176,3.25,22.75,0.25,0,0,2,0
59,2670,Marié(e),Consulting,Consultant,4,12,1,0,0,3,3,3,3,Transformation Digitale,0,0,3,4,1,1,1,2,4,0.2,0,Senior,0.0,0.0,157530,1.75,1.75,1.5,1,3,1,3
30,2693,Divorcé(e),Consulting,Consultant,1,1,1,0,0,1,2,24,1,Infra & Cloud,0,0,4,3,1,3,2,3,4,0.22,1,Junior,0.0,0.0,80790,3.0,3.0,1.0,0,0,1,0
38,9526,Célibataire,Consulting,Tech Lead,0,10,9,7,0,0,2,23,3,Infra & Cloud,1,8,4,2,3,3,2,3,4,0.21,1,Intermédiaire,0.7,0.8,361988,3.0,27.0,0.2,0,0,2,0
36,5237,Marié(e),Consulting,Manager,6,17,7,7,0,2,3,27,3,Transformation Digitale,7,7,3,3,2,3,2,2,3,0.13,1,Intermédiaire,0.875,0.875,188532,2.5,17.5,0.375,0,0,1,0
35,2426,Marié(e),Consulting,Consultant,0,6,5,4,0,1,5,16,3,Transformation Digitale,0,3,1,4,1,2,3,3,3,0.13,1,Intermédiaire,0.6666666666666666,0.5,84910,2.25,11.25,0.8333333333333334,0,0,1,0
29,4193,Célibataire,Consulting,Consultant,0,10,9,5,0,0,3,15,2,Infra & Cloud,0,8,4,2,2,3,4,3,3,0.12,0,Junior,0.5,0.8,121597,3.5,31.5,0.3,1,15,1,15
31,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,5,2,0,1,1,26,1,Infra & Cloud,4,3,1,3,1,3,4,2,3,0.17,1,Junior,0.3333333333333333,0.5,90241,2.5,12.5,0.16666666666666666,0,0,1,0
34,2661,Divorcé(e),Consulting,Consultant,0,3,2,2,0,1,2,19,2,Transformation Digitale,1,2,2,3,1,4,3,3,3,0.11,1,Junior,0.6666666666666666,0.6666666666666666,90474,3.0,6.0,0.6666666666666666,0,0,1,0
28,2028,Célibataire,Consulting,Consultant,5,6,4,2,1,0,4,24,3,Infra & Cloud,0,3,3,2,1,3,2,3,3,0.14,1,Junior,0.4,0.6,56784,2.75,11.0,0.8,1,24,1,24
29,9980,Divorcé(e),Consulting,Tech Lead,1,10,10,9,0,1,1,21,4,Infra & Cloud,8,8,2,4,3,1,3,3,3,0.11,0,Junior,0.8181818181818182,0.7272727272727273,289420,2.25,22.5,0.09090909090909091,0,0,1,0
32,3298,Divorcé(e),Consulting,Assistant de Direction,0,7,6,2,0,2,5,5,2,Infra & Cloud,0,5,1,4,1,2,4,2,3,0.12,1,Junior,0.2857142857142857,0.7142857142857143,105536,2.25,13.5,0.7142857142857143,1,5,1,5
22,2935,Divorcé(e),Consulting,Consultant,1,1,1,0,0,2,2,16,2,Transformation Digitale,0,0,4,4,1,4,2,2,3,0.13,1,Junior,0.0,0.0,64570,3.0,3.0,1.0,1,16,0,0
53,15427,Marié(e),Commercial,Senior Manager,2,31,25,8,0,0,3,2,4,Infra & Cloud,3,7,1,2,4,4,3,3,3,0.16,0,Senior,0.3076923076923077,0.2692307692307692,817631,2.75,68.75,0.11538461538461539,0,0,1,0
38,3944,Célibataire,Consulting,Assistant de Direction,5,6,3,2,0,0,3,2,3,Infra & Cloud,1,2,4,3,1,4,3,3,3,0.11,1,Intermédiaire,0.5,0.5,149872,3.5,10.5,0.75,1,2,1,2
24,4011,Divorcé(e),Consulting,Tech Lead,0,5,4,2,0,1,5,11,2,Autre,1,3,1,4,2,3,4,2,3,0.18,0,Junior,0.4,0.6,96264,2.5,10.0,1.0,0,0,0,0
36,3407,Célibataire,Commercial,Représentant Commercial,7,10,5,3,1,0,4,9,4,Infra & Cloud,0,3,3,2,1,1,2,3,4,0.23,1,Intermédiaire,0.5,0.5,122652,2.25,11.25,0.6666666666666666,0,0,1,0
34,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,0,0,4,7,4,Infra & Cloud,2,11,1,3,3,2,3,3,3,0.11,0,Junior,0.46153846153846156,0.8461538461538461,407796,2.25,27.0,0.3076923076923077,0,0,1,0
21,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,0,0,6,15,2,Infra & Cloud,0,0,3,3,1,4,4,3,3,0.14,1,Junior,0.0,0.0,25872,3.5,0.0,6.0,0,0,1,0
34,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,1,0,2,6,1,Transformation Digitale,1,3,2,3,1,1,3,3,3,0.11,1,Junior,0.4,0.6,100640,2.25,9.0,0.4,0,0,1,0
53,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,0,1,3,5,3,Autre,4,8,3,3,5,3,4,2,3,0.11,0,Senior,0.8666666666666667,0.5333333333333333,1011982,3.0,42.0,0.2,0,0,1,0
32,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,1,0,5,16,1,Infra & Cloud,6,7,2,1,1,1,2,3,4,0.22,0,Junior,0.18181818181818182,0.6363636363636364,125408,2.0,20.0,0.45454545454545453,1,16,2,32
42,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,0,1,2,8,4,Marketing,4,2,3,3,2,2,4,3,3,0.11,1,Intermédiaire,0.7,0.2,286650,3.0,27.0,0.2,0,0,1,0
44,10248,Marié(e),Consulting,Manager,3,24,22,6,0,1,4,7,4,Transformation Digitale,5,17,1,2,3,4,4,3,3,0.14,0,Intermédiaire,0.2608695652173913,0.7391304347826086,450912,3.0,66.0,0.17391304347826086,0,0,1,0
46,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,0,0,2,2,4,Marketing,2,1,2,3,5,1,4,2,3,0.12,0,Senior,0.6666666666666666,0.3333333333333333,871562,2.25,4.5,0.6666666666666666,0,0,1,0
33,2496,Célibataire,Consulting,Consultant,4,7,1,1,0,0,3,2,3,Transformation Digitale,0,0,3,3,1,4,4,3,3,0.11,1,Junior,0.5,0.0,82368,3.5,3.5,1.5,0,0,1,0
44,6465,Marié(e),Consulting,Manager,2,9,4,2,0,0,5,10,4,Autre,1,3,4,3,2,4,4,4,3,0.13,1,Intermédiaire,0.4,0.6,284460,4.0,16.0,1.0,1,10,1,10
30,2206,Célibataire,Consulting,Consultant,1,10,10,0,0,0,5,9,2,Transformation Digitale,1,8,4,2,1,3,1,3,3,0.13,1,Junior,0.0,0.7272727272727273,66180,2.75,27.5,0.45454545454545453,0,0,1,0
39,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,1,1,6,5,3,Entrepreunariat,0,0,4,3,2,4,3,4,3,0.14,1,Intermédiaire,0.0,0.0,81354,3.75,3.75,3.0,0,0,1,0
24,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,1,1,2,1,3,Transformation Digitale,2,0,2,3,1,4,1,2,3,0.16,1,Junior,0.0,0.0,55032,2.25,4.5,0.6666666666666666,1,1,1,1
43,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,0,2,3,2,2,Transformation Digitale,1,4,4,4,1,3,4,2,3,0.12,0,Intermédiaire,0.5,0.6666666666666666,113735,3.25,16.25,0.5,0,0,1,0
50,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,0,2,3,2,Marketing,0,2,1,2,1,3,3,3,3,0.14,1,Senior,0.5,0.5,134150,2.5,7.5,0.5,1,3,1,3
35,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,0,0,3,2,3,Marketing,2,2,4,3,1,4,1,3,3,0.13,0,Intermédiaire,0.6666666666666666,0.6666666666666666,70490,3.0,6.0,1.0,0,0,1,0
36,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,0,1,3,5,4,Infra & Cloud,0,0,2,2,1,1,4,4,3,0.14,0,Intermédiaire,0.5,0.0,123084,2.75,2.75,1.5,1,5,1,5
