revenu_mensuel,age,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,annes_sous_responsable_actuel,nombre_participation_pee,ratio_stagnation,ratio_sous_responsable,age_revenu,satisfaction_moyenne,interaction_satisfaction_anciennete,taux_de_formation,interaction_distance_heures_sup,surmenage_transports,distance_domicile_travail,nb_formations_suivies,nombre_experiences_precedentes,annees_depuis_la_derniere_promotion,frequence_deplacement_num,augementation_salaire_precedente,statut_marital_Célibataire,statut_marital_Divorcé(e),statut_marital_Marié(e),departement_Commercial,departement_Consulting,departement_Ressources Humaines,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Représentant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,tranche_age_Intermédiaire,tranche_age_Junior,tranche_age_Senior,niveau_education,note_evaluation_precedente,note_evaluation_actuelle,niveau_hierarchique_poste,satisfaction_employee_environnement,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,genre_binaire,heures_supplementaires_binaire
0.46844414,0.15923573,0.20766295,-0.03127845,-0.012234801,0.1151337,-0.45349827,0.15323329,0.3205378,0.5179664,-0.16504814,0.3898462,-0.2558461,-0.43598592,-0.17716701,0.066221304,0.03022793,-0.13459311,-0.12261061,-0.6741693,-0.037518907,-0.06779526,0.0051955353,-0.008212732,0.109517805,0.07582102,0.0,0.1724538,-0.014731117,-0.005997699,0.00785409,0.024224078,0.14316726,0.0,-0.0010603305,0.0044119926,0.008040944,-0.0021156901,-0.05529539,-0.013445556,0.0,0.042321578,0.13533053,0.0,0.0,0.0130099915,-0.14503507,0.0,-0.0039996584,-0.067483954,-0.027924702,-0.02534354,-0.033763263,-0.12422505,0.0
0.31034616,-0.17341389,0.02456865,0.05846241,-0.049488444,-0.073941395,-0.18808328,-0.10630632,-0.07770413,0.1524993,-0.16842668,0.007866174,-0.2161062,-0.4859787,-0.22922446,-0.29619357,-0.0072855838,-0.18741415,0.22573967,-0.06923709,-0.09933965,-0.15821183,0.021418262,-0.004205356,-0.053281482,-0.080072805,0.0,-0.5531704,-0.03943638,-0.048852205,0.0035773255,0.008939842,-0.02929241,0.0,-0.0010603305,0.0018170098,0.009508479,-0.004812808,-0.061755363,0.00085176714,0.0,0.013089379,-0.4065794,0.0,0.0,-0.19756955,-0.508881,0.0,-0.0039996584,0.31302783,-0.13277164,0.0032116114,-0.048049543,-0.059152663,0.0
-0.60749036,0.07370418,0.017837238,-0.04383935,0.04703189,0.11225007,-0.46124607,-0.11635681,-0.052516423,0.107959256,-0.10455982,-0.2772465,-0.33832175,-0.4096267,-0.16658294,-0.1915648,-0.042806115,0.67878336,-0.22291243,-0.07707051,-0.38099357,-0.04854589,-0.05254901,-0.0321542,0.17366488,0.10119332,0.0,0.10101039,-0.03130242,-0.021514015,0.00785409,0.015189793,-0.016955733,0.0,0.0036705653,0.0044119926,0.008040944,-0.003921827,-0.062257398,-0.0036541452,0.0,0.05425424,0.15224242,0.0,0.0,0.015316011,0.11850196,0.0,0.021648016,-0.08828035,-0.11251674,-0.07206925,-0.055987574,0.04313976,0.0
-0.46236897,-0.19423687,-0.37062144,0.0744161,-0.13595371,-0.4191498,-0.21447009,0.14755069,-0.14922805,-0.7420197,0.008513115,-0.2575094,-0.009560201,-0.47237104,-0.20125155,-0.24076498,-0.03277289,-0.2517652,0.44564232,-0.08526029,-0.18352641,-0.095130265,-0.13643645,-0.00041913497,-0.14343289,-0.109208204,0.0,0.06607633,-0.05170625,-0.04801009,0.00785409,0.020561522,-0.028938795,0.0,0.0036705653,0.0018170098,0.006775582,-0.0031391094,-0.061755363,-0.050014645,0.0,0.036962003,-0.32613003,0.0,0.0,-0.028934944,-0.35971144,0.0,0.021648016,-0.10616111,0.06374268,0.06474486,-0.028025365,-0.005863186,0.0
-0.09629842,-0.25981674,0.05501942,-0.013208754,0.00030897232,0.067615226,-0.5614168,0.1592802,0.17400649,-0.29322022,0.053784266,0.3987701,0.26742736,0.4346,0.14506347,0.06935447,-0.06310171,-0.51882905,-0.209337,-0.14386898,-0.038823653,-0.13260314,0.0051955353,-0.011896763,-0.07229899,-0.15644522,0.0,-0.94438404,-0.06795337,-0.07199882,0.0035773255,0.021713866,-0.00785914,0.0,-0.0010603305,0.0015050084,0.009089767,-0.015092021,0.025942957,-0.014304569,0.0,-0.06370496,-0.14186475,0.0,0.0,0.030113468,-0.0057659014,0.0,-0.0039996584,-0.041905142,0.040106796,0.0972909,-0.062486652,0.022894755,0.0
-0.18412708,-0.31602946,-0.25847694,-0.008635744,-0.04517744,0.0073762387,0.30620328,0.2009259,-0.21995476,-0.29862985,-0.98159516,-0.25724438,-0.06762236,0.9982091,0.35405368,0.072870344,0.0015740516,0.3336872,0.28449124,-0.08571917,-0.059778735,0.087569624,0.005845064,-0.00041913497,-0.06545408,-0.080072805,0.0,0.09018653,-0.098160766,-0.040057655,0.00785409,0.024665052,-0.014857271,0.0,-0.0010603305,-0.05751496,0.009089767,-0.0013329729,-0.061755363,-0.0036541452,0.0,0.042249717,-0.38168103,0.0,0.0,-0.029989306,-0.17079996,0.0,0.0574665,-0.0701129,-0.20612672,-0.02415007,-0.016819496,-0.25121894,0.0
-0.15398262,-0.31482908,-0.35171828,0.0014527226,0.006660017,0.0037015025,0.27637547,-0.1267718,-0.20474182,-0.1972683,-0.9154395,-0.37307122,-0.33810636,0.49219608,0.056940258,-0.227328,-0.020384569,-0.29381394,-0.2866829,-0.11038771,-0.105387986,-0.0559608,0.01695296,-0.03674458,-0.08396434,-0.08282195,0.0,0.07871407,-0.097413495,-0.04801009,0.00785409,0.028083473,-0.016521443,0.0,-0.0010603305,-0.1396556,0.009508479,-0.0025722126,0.038366213,-0.0187666,0.0,-0.076999694,0.105230674,0.0,0.0,0.032098424,0.08087337,0.0,0.021648016,-0.064599164,0.06952499,-0.07106504,-0.096073054,0.033944502,0.0
-0.28140938,-0.33661082,-0.3916315,0.0011232253,-0.17588004,-0.43994805,0.12392943,-0.07872274,-0.07359594,-0.7828295,-0.13851577,-0.3026486,0.1096308,-0.5119842,-0.15914969,-0.19800699,0.018730832,0.47799933,0.27906483,-0.061087973,-0.12712543,-0.04559526,0.025173202,-0.011896763,-0.11671416,-0.11195736,0.0,0.06740016,-0.08254779,-0.04801009,0.00785409,0.024467314,-0.016602118,0.0,0.056369774,0.0018170098,0.006775582,-0.0017894951,0.027777229,-0.013202875,0.0,-0.06295183,-0.48493844,0.0,0.0,0.019372486,0.005323777,0.0,0.021648016,0.27448255,-0.016415033,0.019379113,-0.055887893,-0.17346016,0.0
-0.27783257,-0.16458821,-0.2608564,-0.057386957,0.019050041,-0.091217756,-0.37734696,-0.54928905,-0.27060428,-0.3731891,-0.20376424,-0.384901,0.13070594,-0.46611434,-0.16510531,0.2170188,-0.046956312,-0.24682572,-0.15833104,-0.12526602,-0.043853045,-0.06594424,0.013198018,-0.004205356,-0.055419188,-0.060921866,0.0,0.09461879,-0.027329993,-0.04801009,0.00785409,0.018011821,-0.0050783246,0.0,-0.016283756,-0.05751496,0.009089767,-0.0025722126,-0.08359787,-0.0187666,0.0,0.026705079,-0.34541345,0.0,0.0,0.0023650473,-0.13632932,0.0,-0.01314275,-0.081233144,-0.0131935775,-0.041903846,-0.06342593,0.013415868,0.0
0.30879694,0.13832434,0.108930476,-0.04128398,-0.010764096,0.08264221,0.40231824,0.19369306,0.13315631,0.46208218,0.42378628,0.49131867,-0.41190416,-0.5004157,-0.19634052,0.12664917,-0.023803087,-0.14711294,-0.1861959,-0.59893674,-0.041647002,0.1697869,0.0051955353,0.0010354309,-0.0800002,-0.058944054,0.0,-0.80373514,-0.026653016,-0.021190273,0.0035773255,0.014970411,-0.017415002,0.0,-0.0010603305,0.0044119926,0.0039539845,-0.015092021,0.025942957,-0.014304569,0.0,-0.032046936,0.108471826,0.0,0.0,0.01986965,-0.15990768,0.0,-0.0039996584,-0.08549782,0.010397306,-0.013533512,-0.004266239,-0.08809142,0.0
-0.081333265,-0.11257725,0.025899798,0.061837815,-0.22301891,-0.04496389,0.30492595,-0.4568371,-0.015940212,-0.07624044,-0.26104775,-0.11840622,0.20902121,-0.44071552,-0.11615373,0.093722984,-0.036794644,-0.22039518,0.3261403,-0.08577992,-0.09290304,-0.13124375,0.021418262,-0.03674458,-0.03519281,-0.07676497,0.0,-0.6155054,-0.052580036,-0.060066093,0.0035773255,0.018756408,-0.005431941,0.0,-0.0010603305,0.0044119926,0.009089767,-0.004812808,-0.061755363,0.00085176714,0.0,-1.1218479e-05,0.15570347,0.0,0.0,-0.0083117755,0.09613648,0.0,-0.0039996584,-0.07948353,-0.049470574,-0.054223288,-0.04863497,-0.024923213,0.0
-0.2910062,-0.45157093,-0.037607364,0.094803646,0.03701146,0.16918924,-0.3862204,0.18206604,0.19146043,-0.38596648,-0.10902791,-0.12602043,-0.01908257,-0.43423998,-0.16231851,-0.19478557,-0.030851549,0.55189747,0.19543812,-0.07747555,0.24440126,-0.04559526,0.005845064,-0.03674458,0.17366488,0.077503994,0.0,0.08571239,0.08522745,-0.019187137,0.00785409,0.021307547,-0.028938795,0.0,-0.0010603305,0.0044119926,0.009769031,-0.0013329729,-0.033452887,-0.006995462,0.0,0.046313275,0.17359531,0.0,0.0,-0.005853925,0.06225144,0.0,0.021648016,-0.10134632,0.03431797,-0.11629234,-0.032536015,-0.23117924,0.0
-0.19120248,-0.2453582,-0.010482015,-0.026318217,-0.06414772,-0.019116396,0.31065616,0.14767748,-0.14192483,-0.24428768,-0.2985516,-0.391445,-0.30402145,-0.4940377,-0.2252622,-0.26426315,-0.027809491,0.43985316,-0.098515466,0.39106318,0.24146473,0.079037786,0.004706258,-0.00041913497,-0.07583436,-0.051551595,0.0,0.044611096,-0.042450354,0.20528167,0.00785409,0.018179778,-0.028938795,0.0,-0.0010603305,0.0018170098,0.009508479,-0.0021156901,0.025952447,-0.006995462,0.0,-0.19287506,-0.35244238,0.0,0.0,0.0042962087,-0.18558751,0.0,-0.01314275,-0.07563009,-0.0048104003,-0.031060625,-0.030093174,-0.22734374,0.0
-0.328933,0.00607003,-0.07346794,0.10477777,0.06320811,-0.07392575,-0.49325278,-0.010024695,-0.1084076,-0.3393575,0.3043998,-0.048777454,0.21058547,-0.41119677,-0.10551223,0.18405609,-0.016226243,-0.24077815,0.18866079,-0.07084607,-0.24485551,-0.110582344,0.013415779,-0.03674458,0.13550237,0.10119332,0.0,0.05974532,0.08177204,-0.045502737,0.00785409,0.015401764,-0.01776862,0.0,-0.0010603305,0.0044119926,0.009089767,-0.0013329729,0.027777229,0.022670211,0.0,0.0070933434,0.11792746,0.0,0.0,0.008553138,0.107147865,0.0,-0.01314275,0.24977812,-0.22328526,0.13058124,-0.056909516,-0.031666584,0.0
0.07569189,-0.24049364,0.07191272,-0.025839029,-0.0070350724,-0.013897007,0.35935125,0.110385336,-0.23112011,-0.21138607,0.5159707,-0.24159645,-0.31160903,-0.39168194,-0.17614758,-0.33598137,-0.15466915,-0.63681996,0.19336838,0.5630541,-0.16296956,0.15176651,0.01270874,0.011391697,-0.049115647,-0.086389616,0.0,0.04713429,-0.08053404,0.23782113,0.00785409,0.021748705,-0.028938795,0.0,-0.016283756,0.003227903,0.008040944,-0.0017894951,0.015363463,-0.014304569,0.0,-0.11573565,0.11238484,0.0,0.0,-0.027124813,0.07903556,0.0,-0.0039996584,-0.07718576,0.06644988,-0.074850485,-0.056056637,-0.052579746,0.0
0.20913175,0.13117631,-0.01310422,0.0029097963,-0.0047070673,-0.019465437,0.2675356,-0.10991808,-0.1141646,0.5082395,0.42561367,-0.23569407,-0.02567972,0.72736865,0.3609624,-0.16643499,0.020749599,-0.21913752,-0.12689716,-0.13201189,0.029262027,0.15501495,0.0051955353,0.0010354309,-0.05479706,-0.054864883,0.0,-0.8073253,-0.040054288,-0.036919482,0.0035773255,0.025307016,-0.010511715,0.0,-0.0010603305,0.0044119926,0.009089767,-0.015092021,-0.08359787,-0.014304569,0.0,0.028843636,0.08604117,0.0,0.0,0.00413251,-0.15235977,0.0,-0.0039996584,-0.03204359,0.0006193444,-0.054223288,-0.043487508,-0.077874556,0.0
-0.06655664,-0.37444222,0.06493566,0.093902126,0.026454572,-0.05060458,-0.4352562,-0.07756785,-0.04895842,0.25733536,0.43579796,-0.32389075,0.053116787,-0.4790093,-0.19035049,-0.3841995,0.028997496,-0.22840405,-0.22558643,-0.12577273,-0.017063549,-0.13459979,0.01695296,0.024817837,0.14003868,0.107887335,0.0,0.11030061,0.046896886,-0.021514015,0.00785409,0.024970219,-0.016602118,0.0,-0.0010603305,0.0018170098,0.009769031,-0.0025722126,0.038366213,0.100923,0.0,0.0073404424,-0.34614703,0.0,0.0,0.028200634,-0.5589695,0.0,0.021648016,-0.09512568,0.0791195,-0.07206925,-0.070488796,-0.0049195774,0.0
-0.25394887,-0.25899613,-0.06823422,0.030640375,0.047777325,0.01513714,-0.3736282,-0.46895996,-0.14906193,-0.34639293,-0.7593905,-0.048064586,0.6957096,-0.4286814,-0.21013843,-0.26997903,-0.078134276,-0.22681884,0.3258871,-0.42284042,-0.24170995,-0.06889358,0.013415779,-0.011896763,0.07581453,0.09090144,0.0,0.08851037,0.08177204,-0.017840808,0.00785409,0.023074538,-0.02958015,0.0,-0.0010603305,0.0018170098,0.009769031,-0.0013329729,-0.056082807,-0.004469277,0.0,0.0077607185,-0.34660253,0.0,0.0,-0.030532647,-0.047340535,0.0,-0.01314275,-0.052174777,-0.17486605,-0.005495936,-0.08203551,-0.009425998,0.0
-0.2718591,0.228829,-0.055186946,-0.008912842,-0.018822724,0.1930317,0.53138006,0.14071143,0.053143248,-0.5106728,-0.211164,0.61363965,-0.39319927,0.26920068,0.049593225,-0.26942015,-0.019466503,0.55968624,-0.1437591,-0.06863169,-0.17057838,0.049265318,0.0051955353,0.011391697,-0.07229899,-0.10197289,0.0,0.07796592,-0.042373937,-0.07199882,0.00785409,0.013171745,-0.010865332,0.0,-0.0010603305,-0.1396556,0.0054215197,-0.0021156901,0.015597354,-0.0036541452,0.0,-0.16091648,0.1272012,0.0,0.0,0.0055502495,0.09718534,0.0,-0.01314275,-0.06932355,-0.10188734,-0.02224106,-0.05214027,-0.13125227,0.0
-0.076092534,-0.22355643,0.0026662033,-0.026933342,-0.010924789,0.13713546,-0.41481692,-0.09744244,-0.004875412,-0.030109707,-0.8543105,-0.19907093,-0.36682403,-0.47531518,-0.2501312,-0.2588006,-0.024941308,-0.17504467,-0.18572246,-0.06822757,-0.029510358,-0.11622952,0.0051955353,-0.011896763,-0.084601134,-0.10084106,0.0,-0.7867166,-0.01903255,-0.057701223,0.0035773255,0.013984758,-0.04191683,0.0,-0.0010603305,0.0018170098,0.009508479,-0.015092021,-0.08359787,0.00085176714,0.0,0.028596537,-0.27283323,0.0,0.0,0.009389281,0.9603135,0.0,-0.0039996584,-0.13579834,-0.15282498,0.041392215,-0.037596166,-0.09447268,0.0
0.03894701,0.25083986,0.027213674,-0.0053744568,-0.067657195,-0.0021422734,-0.39962846,0.016880663,-0.123443715,0.7156674,-0.111857526,-0.14698376,-0.3168198,0.02375836,0.09618909,-0.12938654,-0.044552676,0.6847626,-0.13139367,-0.08284559,-0.35720247,-0.06524372,-0.047055576,0.011391697,0.109517805,0.10119332,0.0,0.12772444,-0.038939226,-0.03365963,0.00785409,0.023610545,0.08864848,0.0,-0.0010603305,0.0044119926,0.010671053,-0.003921827,0.02802061,-0.005751922,0.0,-0.092464335,0.12438965,0.0,0.0,0.0065692835,0.09434016,0.0,-0.0039996584,-0.06723977,0.027116094,-0.045805328,-0.06630312,-0.13697922,0.0
-0.3089463,-0.004730719,0.036399357,0.05704967,-0.020043734,-0.05750096,-0.5109077,0.15887828,-0.038503796,-0.4924446,-0.762762,-0.206144,0.08731327,0.8387943,0.29366097,0.052244376,-0.017906435,-0.22802392,0.30972752,-0.10616135,0.042400766,-0.0598822,0.021418262,-0.008212732,-0.05220388,-0.080072805,0.0,0.04690729,-0.104673676,-0.06404638,0.00785409,0.024957057,-0.010643294,0.0,-0.0010603305,-0.1396556,0.00708861,-0.0017894951,0.027777229,-0.0187666,0.0,-0.114046104,0.022028696,0.0,0.0,0.02305147,-0.14917175,0.0,-0.01314275,-0.06111332,0.10991002,-0.005495936,-0.04969367,0.006820716,0.0
-0.12376464,-0.23673055,0.14882764,-0.0050973594,-0.0811347,-0.013609488,-0.49303827,-0.05703739,-0.18208432,-0.5079654,0.4533901,-0.060614802,-0.327247,0.58050984,0.2013286,-0.2621972,-0.0074538887,0.017386895,-0.22113767,-0.14572895,-0.4105875,-0.10028732,0.0051955353,-0.004205356,-0.07229899,-0.080072805,0.0,-0.5972347,-0.070433505,-0.07199882,0.0035773255,0.02022137,-0.010511715,0.0,-0.0010603305,0.0018170098,0.008040944,-0.015092021,0.02802061,-0.007854475,0.0,0.0066273035,-0.24666193,0.0,0.0,0.009004051,-0.13430656,0.0,-0.01314275,0.15982085,0.045540966,-0.054512873,-0.082047716,-0.11111541,0.0
-0.1056937,-0.3101604,0.019020293,-0.018997231,-0.06772411,0.006957688,0.39780715,-0.14417621,-0.24416946,-0.37311506,-1.0819588,-0.043487817,-0.3547117,0.45799348,-0.19123916,-0.009622615,0.009795511,-0.31799108,-0.13587122,-0.486849,-0.288751,-0.08563747,-0.114737146,-0.00041913497,-0.057882413,-0.055398032,0.0,0.08464091,-0.062480807,-0.04433688,0.005970099,-0.481752,-0.019441657,0.0,-0.0010603305,0.0018170098,0.008040944,-0.012230818,-0.062257398,0.00085176714,0.0,0.039127074,-0.3384374,0.0,0.0,-0.032914136,-0.14964704,0.0,-0.01314275,-0.07699308,-0.2239502,-0.06293084,-0.09372097,0.025476728,0.0
-0.016695358,0.1338886,0.0017382689,-0.0003179455,0.021794977,-0.04879135,0.2937099,-0.37292033,-0.11094494,0.019362636,-0.96986115,-0.16367517,-0.30800387,-0.50424874,-0.17951286,0.20918061,-0.03163343,-0.26104587,-0.17989658,-0.098979965,-0.19221948,0.12683694,0.021418262,0.0010354309,-0.050592154,-0.060921866,0.0,-0.65632653,-0.032176204,-0.07199882,0.0035773255,0.015991542,-0.013842382,0.0,-0.0010603305,0.0044119926,-0.26404428,-0.015548543,0.038366213,-0.013445556,0.0,0.00066738226,0.1422619,0.0,0.0,0.0016832856,-0.18162903,0.0,-0.0039996584,-0.07568557,0.09586704,-0.023239069,0.16686854,-0.0445012,0.0
-0.28381893,0.3266691,0.02772833,0.006085422,0.029991765,0.037837327,0.3797237,-0.11225997,-0.2209103,-0.27587453,-0.149227,-0.36143473,-0.30598986,0.57925475,0.14992212,-0.22948135,-0.052663017,-0.27304763,-0.14260744,-0.117283374,0.18695305,0.11066747,0.0051955353,0.011391697,0.10378358,0.077503994,0.0,0.10517869,0.10599665,-0.04317586,0.00785409,0.020919569,-0.008111004,0.0,-0.0010603305,0.0044119926,0.008040944,-0.0021156901,-0.08359787,-0.004469277,0.0,0.03696339,0.108307645,0.0,0.0,0.008190465,0.113612026,0.0,-0.01314275,-0.06125722,-0.090993665,-0.053337295,-0.045359764,-0.07161789,0.0
0.12814756,-0.40599856,0.08861138,-0.032006312,0.051370624,0.012255359,-0.31977224,-2.0807609e-05,-0.16141322,-0.0692691,0.5967434,-0.16612238,-0.43158665,-0.4616422,-0.13643885,0.19908482,-0.014427235,0.37632257,-0.109421715,-0.10438978,-0.27169275,-0.106931195,-0.114737146,-0.00041913497,-0.049115647,-0.039152604,0.0,0.11711181,-0.04698655,0.23782113,0.00785409,0.021990934,-0.017415002,0.0,-0.0010603305,0.0018170098,0.009203518,-0.013013536,0.02802061,-0.0066109346,0.0,-0.12616998,-0.2197304,0.0,0.0,0.03792292,-0.10335696,0.0,-0.0039996584,-0.08988528,-0.004394113,-0.009733224,-0.08024764,0.02826048,0.0
-0.5303742,-0.24533872,-0.30941764,-0.04591668,-0.05702814,0.004398359,0.17003362,0.19442305,-0.21391702,-0.2454745,-0.16814375,-0.16789064,-0.0701935,-0.4526286,-0.16258027,0.011630999,0.019223925,-0.2627383,-0.2663477,0.34351516,-0.008141413,0.094201125,0.0053557865,0.011391697,-0.14343289,-0.12604898,0.0,0.1166589,-0.060167253,-0.045645222,0.00785409,0.01410456,-0.01776862,0.0,-0.0010603305,-0.1396556,0.009089767,-0.0021156901,-0.055317007,-0.004469277,0.0,0.024724409,0.12028125,0.0,0.0,0.023065887,0.90427154,0.0,0.021648016,0.23821178,-0.23901787,0.046924956,-0.05272852,0.030222405,0.0
-0.12446091,-0.24040645,-0.04820439,0.03170969,-0.25811076,-0.25453195,-0.3351463,-0.39539126,-0.117425226,-0.3404109,-0.9472708,-0.26290688,0.05480179,-0.43950266,-0.18051168,-0.252884,0.030767405,0.6021297,-0.28031215,-0.064072095,-0.059512757,-0.04411408,-0.23038226,-0.00041913497,0.061277423,0.08599451,0.0,0.10116933,0.04127998,-0.021514015,0.00785409,0.021243721,-0.02958015,0.0,-0.0010603305,0.0018170098,0.007767874,-0.013013536,-0.08359787,-0.0036541452,0.0,0.032229677,-0.446886,0.0,0.0,-0.010937773,-0.19398367,0.0,0.0574665,-0.085127406,-0.06851385,-0.07206925,-0.049070757,0.06193026,0.0
-0.4261388,-0.25190747,-0.40216938,0.011097347,-0.15041947,-0.2416864,0.21034977,-0.055629283,-0.1619005,-0.8321925,-0.22960638,-0.30738732,0.54921436,-0.32622263,-0.16010335,0.21303786,0.0063557243,-0.16536152,0.6318505,-0.08948634,-0.03641892,-0.06594424,0.0130371945,-0.004205356,-0.14343289,-0.08400028,0.0,0.073334955,-0.078499675,-0.03607737,-0.25295448,0.022692576,-0.0050783246,0.0,-0.0010603305,0.0018170098,0.00708861,0.0056453645,0.027777229,-0.024974015,0.0,0.05296986,-0.28458464,0.0,0.0,0.021832539,-0.2013136,0.0,0.021648016,-0.09013219,-0.033560485,0.006770085,-0.025106087,-0.036642298,0.0
